id,brand,title,title_en,title_ar,description,description_en,description_ar,usageTips,usageTips_en,usageTips_ar,customBadge,customBadge_en,customBadge_ar,category,subCategory,tags
iWbxwO9hJm70kcozgbUX,,,,,,,,,,,,,,,,
TPkeHk0ssVXRJkueyMrq,Nour Beauty,2 in 1 Matte Lipstick & Lip Liner,2 in 1 Matte Lipstick & Lip Liner,أحمر شفاه وقلم تحديد مطفي 2 في 1,"Un duo lèvres pratique pour définir, colorer et sublimer la bouche en un seul geste.

Ce stylo 2-en-1 réunit un crayon à lèvres précis et un rouge à lèvres mat assorti. Sa texture crémeuse glisse facilement et laisse un fini velours confortable, sans dessécher les lèvres.

**Pourquoi on l’aime :**
- Crayon + rouge à lèvres dans un seul produit
- Dessine le contour et remplit la bouche rapidement
- Fini mat velouté, moderne et pigmenté
- Texture confortable qui ne file pas dans les ridules
- Format pratique à glisser dans le sac

**Pour qui :**
Idéal pour un maquillage des lèvres net, rapide et facile à retoucher.","A practical lip duo to define, color and enhance the lips in one step.

This 2-in-1 pen combines a precise lip liner with a matching matte lipstick. Its creamy texture glides on easily and leaves a comfortable velvet finish without drying the lips.

**Why we love it:**
- Lip liner + lipstick in one product
- Defines and fills the lips quickly
- Modern, pigmented velvet matte finish
- Comfortable texture that does not settle into fine lines
- Easy format to keep in your bag

**Best for:**
A clean, quick lip look that is easy to touch up.","ثنائي عملي للشفاه لتحديدها وتلوينها وإبرازها في خطوة واحدة.

يجمع هذا القلم 2 في 1 بين محدد شفاه دقيق وأحمر شفاه مطفي بنفس الدرجة. قوامه الكريمي ينساب بسهولة ويمنح لمسة مخملية مريحة من دون أن يجفف الشفاه.

**لماذا نحبّه:**
- محدد شفاه وأحمر شفاه في منتج واحد
- يحدد الشفاه ويملؤها بسرعة
- لمسة مطفية مخملية عصرية وغنية باللون
- قوام مريح لا يتجمع في الخطوط الرفيعة
- حجم عملي للحقيبة

**مناسب لـ:**
مكياج شفاه مرتب وسريع وسهل التعديل.",,,,6 teintes,6 shades,6 درجات,Maquillage,Crayon à lèvres,"maquillage; lèvres; crayon_à_lèvres; mat"
K97HiNQPNwYQPnXkiETH,Maybelline,Anti-cernes Instant Anti-Age Eraser,Instant Anti-Age Eraser Multi-Use Concealer,كونسيلر إنستانت أنتي إيج إريزر,"L’anti-cernes iconique pour illuminer le regard en quelques secondes.

Il aide à camoufler les cernes, corriger les petites imperfections et réveiller le contour de l’œil sans effet lourd.

**Pourquoi on l’aime :**
- Camoufle les cernes et les zones d’ombre
- Corrige les petites imperfections
- Texture fluide, facile à fondre
- Applicateur mousse pratique et rapide
- Résultat lumineux, naturel et modulable

**Astuce :**
Appliquez-le en triangle sous l’œil, puis estompez vers les tempes pour un effet regard plus frais.","The iconic concealer to brighten the eye area in seconds.

It helps hide dark circles, correct small imperfections and refresh the under-eye area without a heavy finish.

**Why we love it:**
- Covers dark circles and shadowed areas
- Corrects small imperfections
- Fluid texture that blends easily
- Fast, practical sponge applicator
- Bright, natural and buildable result

**Tip:**
Apply it in a triangle under the eye, then blend toward the temples for a fresher-looking gaze.","الكونسيلر الأيقوني لإضاءة محيط العين في ثوانٍ.

يساعد على إخفاء الهالات، تصحيح العيوب الصغيرة وإنعاش محيط العين من دون إحساس ثقيل.

**لماذا نحبّه:**
- يخفي الهالات والمناطق الداكنة
- يصحح العيوب الصغيرة
- قوام سائل سهل الدمج
- إسفنجة تطبيق عملية وسريعة
- نتيجة مشرقة وطبيعية وقابلة للبناء

**نصيحة:**
طبّقيه على شكل مثلث تحت العين ثم ادمجيه باتجاه الصدغين لمظهر أكثر انتعاشاً.","1. Tournez le col du micro-applicateur jusqu'à ce que la formule apparaisse sur la mousse.
2. Appliquez directement sur la zone souhaitée.
3. Estompez au doigt, au pinceau ou à l'éponge pour un fini naturel.","1. Twist the collar of the applicator until the concealer is visible on the sponge.
2. Apply directly to the under-eye area or any imperfections.
3. Blend using an outward motion with your fingertips, a brush, or a beauty blender.",1. لفّي عنق أداة التطبيق حتى تظهر التركيبة على الإسفنجة. 2. طبّقي مباشرة على المنطقة المطلوبة. 3. ادمجي بالأصبع أو الفرشاة أو الإسفنجة للحصول على نتيجة طبيعية.,6 teintes,6 shades,6 درجات,Maquillage,Anti-cernes,"maquillage; anti-cernes; teint; couvrance_moyenne; haute_couvrance; mat; tout_type; moyenne; haute_couvrance"
nUw0SrQ66xxCeqWsDGzu,Flux Care,Après-Shampooing Anti-Chute,Anti-Hair Loss Conditioner,بلسم مضاد لتساقط الشعر,"Un après-shampooing pensé pour renforcer les cheveux fragiles et limiter la chute liée à la casse.

Sa formule à l’Aminexil, la biotine et l’arginine aide à fortifier les cheveux des racines jusqu’aux pointes, tout en laissant le cuir chevelu plus sain.

**Pourquoi on l’aime :**
- Aide à réduire la casse au brossage
- Renforce les cheveux fragilisés
- Apporte plus de résistance jour après jour
- Formule sans parabène, sans silicone et sans sulfates
- Laisse les cheveux plus forts et plus faciles à coiffer

**Résultat :**
Des cheveux moins cassants, plus résistants, avec jusqu’à 2x moins de cheveux sur la brosse.","A conditioner designed to strengthen fragile hair and reduce hair fall caused by breakage.

Its Aminexil, biotin and arginine formula helps fortify hair from roots to ends while supporting a healthier scalp.

**Why we love it:**
- Helps reduce breakage during brushing
- Strengthens weakened hair
- Improves resistance day after day
- Free from parabens, silicones and sulfates
- Leaves hair stronger and easier to style

**Result:**
Less breakage, stronger hair and up to 2x less hair on the brush.","بلسم مصمم لتقوية الشعر الضعيف والمساعدة على تقليل التساقط الناتج عن التكسر.

تركيبته بالأمينكسيل والبيوتين والأرجينين تساعد على تقوية الشعر من الجذور حتى الأطراف، مع دعم فروة رأس أكثر صحة.

**لماذا نحبّه:**
- يساعد على تقليل التكسر أثناء التمشيط
- يقوي الشعر الضعيف
- يمنح الشعر مقاومة أكبر يوماً بعد يوم
- خالٍ من البارابين والسيليكون والسلفات
- يترك الشعر أقوى وأسهل في التصفيف

**النتيجة:**
شعر أقل تكسرًا وأكثر مقاومة، مع شعر أقل على الفرشاة حتى مرتين.","Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",بعد الشامبو، طبّقيه على الشعر المعصور من الأطوال حتى الأطراف. اتركيه من دقيقتين إلى 3 دقائق ثم اشطفي جيداً.,,,,Cheveux,Après-Shampooing,"cheveux; gamme_aminexil; tout_type; après-shamoooing; anti-chute; réparation; brillance; hydratation"
ywhbCVYgx4oB0vy9vjld,Flux Care,Après-Shampooing pour cheveux Abîmés,Conditioner for Damaged Hair,بلسم للشعر التالف,"Un après-shampooing réparateur pour démêler les longueurs sans les alourdir.

Sa formule sans silicones aide à nourrir, renforcer et protéger les cheveux abîmés, avec une action ciblée contre la casse.

**Pourquoi on l’aime :**
- Démêle les longueurs facilement
- Aide à réparer les cheveux fragilisés
- Apporte brillance et douceur
- Action anti-casse pour des longueurs plus fortes
- Ne laisse pas les cheveux lourds

**Actifs clés :**
Huile de ricin pour nourrir, kératine pour renforcer, huile de camélia pour apporter force et éclat.","A repairing conditioner to detangle lengths without weighing them down.

Its silicone-free formula helps nourish, strengthen and protect damaged hair, with targeted action against breakage.

**Why we love it:**
- Detangles lengths easily
- Helps repair weakened hair
- Adds shine and softness
- Anti-breakage action for stronger lengths
- Does not leave hair heavy

**Key ingredients:**
Castor oil to nourish, keratin to strengthen and camellia oil for strength and shine.","بلسم مرمم يساعد على فك تشابك الأطوال من دون إثقال الشعر.

تركيبته الخالية من السيليكون تساعد على تغذية الشعر التالف وتقويته وحمايته، مع عناية موجهة ضد التكسر.

**لماذا نحبّه:**
- يفك تشابك الأطوال بسهولة
- يساعد على ترميم الشعر الضعيف
- يمنح لمعاناً ونعومة
- عناية ضد التكسر لأطوال أقوى
- لا يترك الشعر ثقيلاً

**المكونات الأساسية:**
زيت الخروع للتغذية، الكيراتين للتقوية، وزيت الكاميليا للقوة واللمعان.","Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",بعد الشامبو، طبّقيه على الشعر المعصور من الأطوال حتى الأطراف. اتركيه من دقيقتين إلى 3 دقائق ثم اشطفي جيداً.,,,,Cheveux,Après-Shampooing,"cheveux; gamme_perfect_long; après-shampooing; réparation; hydratation; brillance; abîmés; lisses; ondulés; bouclés; frisés; crépus"
D9bXbZwRlSoY3NIhSZQT,Flux Care,Après-Shampooing pour cheveux Colorés,Color Protect Conditioner,بلسم للشعر المصبوغ,"Un après-shampooing conçu pour nourrir les cheveux colorés et préserver leur éclat.

Sa texture riche et fondante apporte un soin profond, tandis que les filtres UVA/UVB aident à protéger la couleur des agressions extérieures.

**Pourquoi on l’aime :**
- Nourrit intensément les cheveux colorés
- Aide à prolonger l’éclat de la couleur
- Laisse les cheveux plus doux et soyeux
- Texture riche, agréable à appliquer
- Protection durable grâce aux filtres UVA/UVB

**Résultat :**
Une couleur plus lumineuse et des cheveux visiblement mieux soignés.","A conditioner made to nourish color-treated hair and preserve its radiance.

Its rich, melting texture gives deep care, while UVA/UVB filters help protect color from external aggressors.

**Why we love it:**
- Deeply nourishes color-treated hair
- Helps prolong color radiance
- Leaves hair softer and silkier
- Rich texture that feels pleasant to apply
- Long-lasting protection with UVA/UVB filters

**Result:**
A brighter color and hair that looks visibly better cared for.","بلسم مصمم لتغذية الشعر المصبوغ والحفاظ على لمعان اللون.

قوامه الغني والذائب يمنح عناية عميقة، بينما تساعد فلاتر UVA/UVB على حماية اللون من العوامل الخارجية.

**لماذا نحبّه:**
- يغذي الشعر المصبوغ بعمق
- يساعد على إطالة إشراقة اللون
- يترك الشعر أنعم وأكثر حريرية
- قوام غني وممتع عند التطبيق
- حماية طويلة بفضل فلاتر UVA/UVB

**النتيجة:**
لون أكثر إشراقاً وشعر يبدو أكثر عناية.","Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",بعد الشامبو، طبّقيه على الشعر المعصور من الأطوال حتى الأطراف. اتركيه من دقيقتين إلى 3 دقائق ثم اشطفي جيداً.,,,,Cheveux,Après-Shampooing,"cheveux; gamme_color_fix; après-shampooing; hydratation; brillance; réparation; colorés; lisses; bouclés; crépus; frisés; ondulés"
Baozrr04ZBJ4roxwatIS,Flux Care,Après-shampooing pour cheveux Déshydratés,Conditioner for Dehydrated & Dull Hair,بلسم للشعر فاقد الترطيب,"Un après-shampooing hydratant pour aider les cheveux déshydratés à retrouver souplesse et douceur.

Sa formule aux acides hyaluroniques enveloppe la fibre et aide à retenir l’hydratation plus longtemps, pour des cheveux plus beaux et plus souples.

**Pourquoi on l’aime :**
- Aide à retenir l’hydratation dans la fibre
- Enveloppe les cheveux sans les alourdir
- Apporte douceur et souplesse
- Convient aux cheveux en manque d’eau
- Aide à améliorer l’aspect des longueurs

**Pour qui :**
Idéal pour les cheveux secs, ternes ou déshydratés.","A hydrating conditioner that helps dehydrated hair regain softness and flexibility.

Its hyaluronic acid formula coats the fiber and helps retain moisture for longer, leaving hair more supple and beautiful.

**Why we love it:**
- Helps lock moisture inside the hair fiber
- Coats hair without weighing it down
- Adds softness and flexibility
- Suitable for hair lacking water
- Helps improve the look of the lengths

**Best for:**
Dry, dull or dehydrated hair.","بلسم مرطب يساعد الشعر فاقد الترطيب على استعادة النعومة والمرونة.

تركيبته بأحماض الهيالورونيك تغلف الشعرة وتساعد على الاحتفاظ بالرطوبة لمدة أطول، لشعر أكثر ليونة وجمالاً.

**لماذا نحبّه:**
- يساعد على حبس الترطيب داخل الشعرة
- يغلف الشعر من دون إثقاله
- يمنح نعومة ومرونة
- مناسب للشعر الذي يفتقد الماء
- يحسن مظهر الأطوال

**مناسب لـ:**
الشعر الجاف أو الباهت أو فاقد الترطيب.","Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",بعد الشامبو، طبّقيه على الشعر المعصور من الأطوال حتى الأطراف. اتركيه من دقيقتين إلى 3 دقائق ثم اشطفي جيداً.,,,,Cheveux,Après-Shampooing,"cheveux; revive; gamme_7en1; après-shampooing; hydratation; volume; anti-frisottis; brillance; sans_sulfates; secs; lisses; ondulés; bouclés; frisés; crépus"
IyKERjdfiZMvpPQws3sz,Flux Care,Après-Shampooing pour cheveux Gras,Conditioner for Oily Hair,بلسم للشعر الدهني,"Un après-shampooing purifiant pour les cheveux qui regraissent vite.

Sa formule aux 3 argiles aide à absorber l’excès de sébum et à purifier les racines, tout en gardant les longueurs légères.

**Pourquoi on l’aime :**
- Aide à purifier le cuir chevelu
- Absorbe l’excès de sébum
- Apporte une sensation de fraîcheur
- Laisse les cheveux plus légers
- Idéal quand les racines s’alourdissent vite

**Pour qui :**
Cheveux gras ou cuir chevelu qui regraisse rapidement.","A purifying conditioner for hair that gets oily quickly.

Its 3-clay formula helps absorb excess sebum and purify the roots while keeping the lengths light.

**Why we love it:**
- Helps purify the scalp
- Absorbs excess sebum
- Gives a fresh feeling
- Leaves hair lighter
- Ideal when roots get heavy quickly

**Best for:**
Oily hair or a scalp that becomes greasy fast.","بلسم منقٍ للشعر الذي يدهن بسرعة.

تركيبته بثلاثة أنواع من الطين تساعد على امتصاص الزهم الزائد وتنقية الجذور مع الحفاظ على خفة الأطوال.

**لماذا نحبّه:**
- يساعد على تنقية فروة الرأس
- يمتص الزهم الزائد
- يمنح إحساساً بالانتعاش
- يترك الشعر أخف
- مثالي عندما تثقل الجذور بسرعة

**مناسب لـ:**
الشعر الدهني أو فروة الرأس التي تدهن بسرعة.","Après le shampooing, appliquez sur cheveux essorés, des longueurs jusqu'aux pointes. Laissez agir 2 à 3 minutes, puis rincez abondamment.","After shampooing, apply to towel-dried hair from mid-lengths to ends. Leave on for 2 to 3 minutes, then rinse thoroughly.",بعد الشامبو، طبّقيه على الشعر المعصور من الأطوال حتى الأطراف. اتركيه من دقيقتين إلى 3 دقائق ثم اشطفي جيداً.,,,,Cheveux,Après-Shampooing,"cheveux; gamme_pure_clay; après-shampooing; hydratation; gras; lisses; ondulés; bouclés; crépus; frisés"
261GVya97e4IiU2jlpqz,Flux Care,"Après-Shampooing pour cheveux Secs, Frisés ou Crépus","Conditioner for Dry, Curly or Coily Hair",بلسم للشعر الجاف أو المجعد أو الكيرلي,"Un après-shampooing nourrissant pour cheveux secs, frisés ou crépus.

Sa formule à l’huile d’avocat et au beurre de karité aide à nourrir les cheveux en profondeur, à faciliter le démêlage et à redonner de la douceur sans alourdir.

**Pourquoi on l’aime :**
- Nourrit les cheveux secs et frisés
- Démêle instantanément
- Aide à retrouver douceur et éclat
- Texture crémeuse confortable
- Ne laisse pas les cheveux lourds

**Résultat :**
Des cheveux plus faciles à coiffer, plus souples et plus lumineux.","A nourishing conditioner for dry, curly or coily hair.

Its avocado oil and shea butter formula helps deeply nourish hair, ease detangling and restore softness without weighing it down.

**Why we love it:**
- Nourishes dry and curly hair
- Instantly helps detangle
- Restores softness and shine
- Creamy, comfortable texture
- Does not leave hair heavy

**Result:**
Hair that is easier to style, softer and more luminous.","بلسم مغذٍ للشعر الجاف أو المجعد أو الكيرلي.

تركيبته بزيت الأفوكادو وزبدة الشيا تساعد على تغذية الشعر بعمق، تسهيل فك التشابك وإعادة النعومة من دون إثقاله.

**لماذا نحبّه:**
- يغذي الشعر الجاف والمجعد
- يساعد على فك التشابك فوراً
- يعيد النعومة واللمعان
- قوام كريمي ومريح
- لا يترك الشعر ثقيلاً

**النتيجة:**
شعر أسهل في التصفيف، أكثر نعومة ولمعاناً.","Appliquez sur les pointes, laissez poser 1 minute et rincez. En cas de contact avec les yeux, rincez immédiatement.","Apply to ends, leave for 1 minute and rinse. In case of contact with eyes, rinse immediately.",طبّقيه على الأطراف، اتركيه دقيقة واحدة ثم اشطفي. في حال ملامسة العينين، اشطفي فوراً.,,,,Cheveux,Après-Shampooing,"cheveux; gamme_huile_davocat; après-shampooing; hydratation; secs; bouclés; frisés; ondulés; crépus"
VOf7dxdwqE6dLdNBUWgY,Protelisse,Après-Shampooing Protéiné pour cheveux Gras,Sulfate-Free Protein Conditioner for Oily Hair,بلسم بروتيني للشعر الدهني,"Un après-shampooing protéiné sans sulfate pour aider les cheveux secs et abîmés à retrouver douceur et brillance.

Il facilite le démêlage dès l’application et laisse les cheveux plus souples, plus brillants et plus faciles à coiffer.

**Pourquoi on l’aime :**
- Aide à réparer les cheveux secs et abîmés
- Facilite le démêlage
- Apporte douceur et brillance
- Rend le coiffage plus simple
- Formule sans sulfate

**Pour qui :**
Cheveux fragilisés, secs ou difficiles à démêler.","A sulfate-free protein conditioner that helps dry and damaged hair regain softness and shine.

It makes detangling easier from the first application and leaves hair more supple, shinier and easier to style.

**Why we love it:**
- Helps repair dry and damaged hair
- Makes detangling easier
- Adds softness and shine
- Makes styling simpler
- Sulfate-free formula

**Best for:**
Fragile, dry or hard-to-detangle hair.","بلسم بروتيني خالٍ من السلفات يساعد الشعر الجاف والتالف على استعادة النعومة واللمعان.

يسهل فك التشابك من أول تطبيق ويترك الشعر أكثر مرونة ولمعاناً وأسهل في التصفيف.

**لماذا نحبّه:**
- يساعد على إصلاح الشعر الجاف والتالف
- يسهل فك التشابك
- يمنح نعومة ولمعاناً
- يجعل التصفيف أسهل
- تركيبة خالية من السلفات

**مناسب لـ:**
الشعر الضعيف أو الجاف أو صعب التمشيط.","Après le shampooing, appliquer sur l'ensemble des longueurs et des pointes. Laisser agir 5 minutes, puis rincer abondamment à l'eau tiède.","Apply directly after shampooing to the lengths and ends. Leave on for 5 minutes, then rinse thoroughly with lukewarm water.",بعد الشامبو، طبّقيه على كامل الأطوال والأطراف. اتركيه 5 دقائق ثم اشطفي جيداً بالماء الفاتر.,,,,Cheveux,Après-Shampooing,"cheveux; gamme_citron; après-shampooing; gras; lisses; ondulés; bouclés; frisés; crépus; réparation; hydratation; brillance"
